latent_id,max_act,mean_act,top_images,top_values
40,8.021261215209961,0.4132240116596222,"['top_activations_live/img_7005.png', 'top_activations_live/img_6830.png', 'top_activations_live/img_7819.png', 'top_activations_live/img_241.png', 'top_activations_live/img_5051.png', 'top_activations_live/img_8123.png', 'top_activations_live/img_9658.png', 'top_activations_live/img_2346.png']","[8.021261215209961, 7.3138203620910645, 7.089373588562012, 6.943542957305908, 6.91518497467041, 6.83616304397583, 6.793586730957031, 6.684114933013916]"
50,7.0557403564453125,0.5436981320381165,"['top_activations_live/img_5399.png', 'top_activations_live/img_8634.png', 'top_activations_live/img_5216.png', 'top_activations_live/img_1661.png', 'top_activations_live/img_7123.png', 'top_activations_live/img_4671.png', 'top_activations_live/img_6063.png', 'top_activations_live/img_2848.png']","[7.0557403564453125, 6.97554874420166, 6.787762641906738, 6.732084274291992, 6.581116676330566, 6.547351837158203, 6.526920318603516, 6.502631187438965]"
183,4.40644645690918,0.15218889713287354,"['top_activations_live/img_2608.png', 'top_activations_live/img_3576.png', 'top_activations_live/img_498.png', 'top_activations_live/img_1762.png', 'top_activations_live/img_1441.png', 'top_activations_live/img_7204.png', 'top_activations_live/img_3098.png', 'top_activations_live/img_6909.png']","[4.40644645690918, 4.378429412841797, 4.284180641174316, 4.25531530380249, 4.092199325561523, 4.048673629760742, 4.039724349975586, 4.0031962394714355]"
194,0.6237286329269409,0.0002573129895608872,"['top_activations_live/img_2358.png', 'top_activations_live/img_5288.png', 'top_activations_live/img_9461.png', 'top_activations_live/img_3163.png', 'top_activations_live/img_8862.png', 'top_activations_live/img_3.png', 'top_activations_live/img_7.png', 'top_activations_live/img_1.png']","[0.6237286329269409, 0.5446869134902954, 0.5154383778572083, 0.46337294578552246, 0.4259030222892761, 0.0, 0.0, 0.0]"
198,2.843494415283203,0.04303646832704544,"['top_activations_live/img_5725.png', 'top_activations_live/img_4072.png', 'top_activations_live/img_7438.png', 'top_activations_live/img_53.png', 'top_activations_live/img_9557.png', 'top_activations_live/img_4820.png', 'top_activations_live/img_4934.png', 'top_activations_live/img_1400.png']","[2.843494415283203, 2.7577598094940186, 2.66782546043396, 2.5724339485168457, 2.427957773208618, 2.4174907207489014, 2.336174726486206, 2.2173943519592285]"
265,2.6045801639556885,0.03423779457807541,"['top_activations_live/img_3578.png', 'top_activations_live/img_8227.png', 'top_activations_live/img_2239.png', 'top_activations_live/img_1215.png', 'top_activations_live/img_2776.png', 'top_activations_live/img_4010.png', 'top_activations_live/img_6416.png', 'top_activations_live/img_2340.png']","[2.6045801639556885, 2.435408592224121, 2.2350685596466064, 2.1207590103149414, 1.9909543991088867, 1.9582560062408447, 1.9354486465454102, 1.8229246139526367]"
293,1.9777238368988037,0.010812751948833466,"['top_activations_live/img_6843.png', 'top_activations_live/img_8298.png', 'top_activations_live/img_6172.png', 'top_activations_live/img_7096.png', 'top_activations_live/img_3916.png', 'top_activations_live/img_1330.png', 'top_activations_live/img_8492.png', 'top_activations_live/img_4959.png']","[1.9777238368988037, 1.9201345443725586, 1.881724238395691, 1.8216276168823242, 1.8152425289154053, 1.7858169078826904, 1.7801145315170288, 1.7484931945800781]"
307,7.731639862060547,0.5050548911094666,"['top_activations_live/img_7320.png', 'top_activations_live/img_9054.png', 'top_activations_live/img_472.png', 'top_activations_live/img_3871.png', 'top_activations_live/img_917.png', 'top_activations_live/img_7977.png', 'top_activations_live/img_8377.png', 'top_activations_live/img_9572.png']","[7.731639862060547, 7.632315635681152, 7.518880844116211, 7.466036319732666, 7.434356689453125, 7.4214982986450195, 7.413400650024414, 7.3381805419921875]"
325,4.40194845199585,0.0721876248717308,"['top_activations_live/img_2249.png', 'top_activations_live/img_944.png', 'top_activations_live/img_4953.png', 'top_activations_live/img_7034.png', 'top_activations_live/img_7077.png', 'top_activations_live/img_7031.png', 'top_activations_live/img_2330.png', 'top_activations_live/img_8829.png']","[4.40194845199585, 4.235746383666992, 3.9882044792175293, 3.979196548461914, 3.9678773880004883, 3.9037702083587646, 3.877403974533081, 3.861088752746582]"
334,7.4813714027404785,0.1581006497144699,"['top_activations_live/img_6047.png', 'top_activations_live/img_5164.png', 'top_activations_live/img_8358.png', 'top_activations_live/img_5880.png', 'top_activations_live/img_1712.png', 'top_activations_live/img_767.png', 'top_activations_live/img_5223.png', 'top_activations_live/img_6222.png']","[7.4813714027404785, 7.321260452270508, 7.317282199859619, 7.241316318511963, 7.230987548828125, 7.167630195617676, 7.035381317138672, 6.975645065307617]"
